"Fecha","Sensor","Volumen (Gals)","Distancia (KM)","Ver en Mapa"
"2024-06-15 02:12:10","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 03:11:52","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 04:12:13","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 05:12:11","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 06:12:57","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 06:27:45","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 06:28:18","Sensor unico","29.3","0.00","Ver en Mapa"
"2024-06-15 06:28:30","Sensor unico","29.3","0.10","Ver en Mapa"
"2024-06-15 06:28:33","Sensor unico","29.3","0.10","Ver en Mapa"
"2024-06-15 06:28:39","Sensor unico","29.3","0.10","Ver en Mapa"
"2024-06-15 06:28:45","Sensor unico","29.3","0.10","Ver en Mapa"
"2024-06-15 06:29:02","Sensor unico","29.3","0.10","Ver en Mapa"
"2024-06-15 06:44:09","Sensor unico","28.65","0.10","Ver en Mapa"
"2024-06-15 06:44:39","Sensor unico","28.65","0.10","Ver en Mapa"
"2024-06-15 06:45:10","Sensor unico","28.65","0.10","Ver en Mapa"
"2024-06-15 06:45:34","Sensor unico","28.65","0.20","Ver en Mapa"
"2024-06-15 06:45:37","Sensor unico","28.65","0.20","Ver en Mapa"
"2024-06-15 06:45:40","Sensor unico","28.65","0.20","Ver en Mapa"
"2024-06-15 06:46:19","Sensor unico","28.65","0.30","Ver en Mapa"
"2024-06-15 06:46:34","Sensor unico","28.65","0.30","Ver en Mapa"
"2024-06-15 06:46:37","Sensor unico","28.65","0.40","Ver en Mapa"
"2024-06-15 06:47:37","Sensor unico","29.3","1.10","Ver en Mapa"
"2024-06-15 06:48:37","Sensor unico","29.3","2.10","Ver en Mapa"
"2024-06-15 06:49:37","Sensor unico","28.65","3.20","Ver en Mapa"
"2024-06-15 06:50:37","Sensor unico","28.65","4.00","Ver en Mapa"
"2024-06-15 06:51:37","Sensor unico","28.65","4.40","Ver en Mapa"
"2024-06-15 06:52:37","Sensor unico","28.65","5.00","Ver en Mapa"
"2024-06-15 06:52:46","Sensor unico","28.65","5.00","Ver en Mapa"
"2024-06-15 06:53:37","Sensor unico","28.65","5.50","Ver en Mapa"
"2024-06-15 06:54:04","Sensor unico","28.65","5.60","Ver en Mapa"
"2024-06-15 06:54:07","Sensor unico","28.65","5.60","Ver en Mapa"
"2024-06-15 06:54:37","Sensor unico","28.65","5.80","Ver en Mapa"
"2024-06-15 06:55:37","Sensor unico","28.65","6.10","Ver en Mapa"
"2024-06-15 06:56:04","Sensor unico","28.65","6.20","Ver en Mapa"
"2024-06-15 06:56:37","Sensor unico","28.65","6.40","Ver en Mapa"
"2024-06-15 06:57:37","Sensor unico","28.65","6.60","Ver en Mapa"
"2024-06-15 06:57:51","Sensor unico","28.65","6.60","Ver en Mapa"
"2024-06-15 07:37:27","Sensor unico","28.65","6.60","Ver en Mapa"
"2024-06-15 07:38:09","Sensor unico","28.65","6.60","Ver en Mapa"
"2024-06-15 07:39:09","Sensor unico","28.65","6.70","Ver en Mapa"
"2024-06-15 07:40:09","Sensor unico","28.65","7.10","Ver en Mapa"
"2024-06-15 07:40:30","Sensor unico","28.65","7.10","Ver en Mapa"
"2024-06-15 07:40:36","Sensor unico","28.65","7.10","Ver en Mapa"
"2024-06-15 07:41:09","Sensor unico","28.65","7.40","Ver en Mapa"
"2024-06-15 07:42:09","Sensor unico","28.65","7.60","Ver en Mapa"
"2024-06-15 07:42:51","Sensor unico","28.65","7.80","Ver en Mapa"
"2024-06-15 07:43:09","Sensor unico","28.65","7.90","Ver en Mapa"
"2024-06-15 07:44:09","Sensor unico","27.99","8.20","Ver en Mapa"
"2024-06-15 07:44:30","Sensor unico","27.99","8.20","Ver en Mapa"
"2024-06-15 07:44:36","Sensor unico","28.65","8.20","Ver en Mapa"
"2024-06-15 07:44:54","Sensor unico","28.65","8.30","Ver en Mapa"
"2024-06-15 07:45:09","Sensor unico","28.65","8.40","Ver en Mapa"
"2024-06-15 07:46:09","Sensor unico","28.65","8.60","Ver en Mapa"
"2024-06-15 07:47:09","Sensor unico","28.65","8.70","Ver en Mapa"
"2024-06-15 07:47:12","Sensor unico","28.65","8.70","Ver en Mapa"
"2024-06-15 07:47:24","Sensor unico","27.99","8.70","Ver en Mapa"
"2024-06-15 07:48:02","Sensor unico","28.65","8.90","Ver en Mapa"
"2024-06-15 07:53:20","Sensor unico","28.65","8.90","Ver en Mapa"
"2024-06-15 07:54:11","Sensor unico","28.65","9.10","Ver en Mapa"
"2024-06-15 07:55:11","Sensor unico","28.65","9.30","Ver en Mapa"
"2024-06-15 07:56:11","Sensor unico","28.65","9.70","Ver en Mapa"
"2024-06-15 07:57:11","Sensor unico","27.99","10.00","Ver en Mapa"
"2024-06-15 07:58:11","Sensor unico","27.99","10.10","Ver en Mapa"
"2024-06-15 07:59:08","Sensor unico","27.99","10.40","Ver en Mapa"
"2024-06-15 07:59:11","Sensor unico","27.99","10.50","Ver en Mapa"
"2024-06-15 08:00:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:01:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:02:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:03:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:04:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:05:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:06:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:07:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:08:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:09:11","Sensor unico","27.99","11.00","Ver en Mapa"
"2024-06-15 08:10:11","Sensor unico","27.99","11.10","Ver en Mapa"
"2024-06-15 08:11:11","Sensor unico","27.99","11.50","Ver en Mapa"
"2024-06-15 08:11:47","Sensor unico","27.99","11.60","Ver en Mapa"
"2024-06-15 08:12:11","Sensor unico","27.99","11.70","Ver en Mapa"
"2024-06-15 08:13:11","Sensor unico","27.99","11.70","Ver en Mapa"
"2024-06-15 08:14:11","Sensor unico","27.99","11.70","Ver en Mapa"
"2024-06-15 08:14:50","Sensor unico","27.99","11.70","Ver en Mapa"
"2024-06-15 08:15:11","Sensor unico","27.99","11.80","Ver en Mapa"
